,timestamp,count,provider
6416,1576174722.0,8,azure
6417,1576175622.0,10,azure
6418,1576176522.0,12,azure
6419,1576177422.0,4,azure
6420,1576178322.0,9,azure
6421,1576179222.0,7,azure
6422,1576180122.0,4,azure
6423,1576181022.0,6,azure
6424,1576181922.0,8,azure
6425,1576182822.0,6,azure
6426,1576183722.0,8,azure
6427,1576184622.0,9,azure
6428,1576185522.0,3,azure
6429,1576186422.0,2,azure
6430,1576187322.0,10,azure
6431,1576188222.0,3,azure
6432,1576189122.0,1,azure
6433,1576190022.0,4,azure
6434,1576190922.0,3,azure
6435,1576191822.0,5,azure
6436,1576192722.0,4,azure
6437,1576193622.0,0,azure
6438,1576194522.0,3,azure
6439,1576195422.0,0,azure
6440,1576196322.0,0,azure
6441,1576197222.0,2,azure
6442,1576198122.0,2,azure
6443,1576199022.0,1,azure
6444,1576199922.0,2,azure
6445,1576200822.0,1,azure
6446,1576201722.0,2,azure
6447,1576202622.0,1,azure
6448,1576203522.0,0,azure
6449,1576204422.0,1,azure
6450,1576205322.0,6,azure
6451,1576206222.0,3,azure
6452,1576207122.0,1,azure
6453,1580893251.0,0,azure
6454,1580894151.0,0,azure
6455,1580895051.0,0,azure
6456,1580895951.0,0,azure
6457,1580896851.0,0,azure
6458,1580897751.0,2,azure
6459,1580898651.0,0,azure
6460,1580899551.0,0,azure
6461,1580900451.0,0,azure
6462,1580901351.0,0,azure
6463,1580902251.0,0,azure
6464,1580903151.0,1,azure
6465,1580904051.0,2,azure
6466,1580904951.0,0,azure
6467,1580905851.0,0,azure
6468,1580906751.0,1,azure
6469,1580907651.0,0,azure
6470,1580908551.0,0,azure
6471,1580909451.0,1,azure
6472,1580910351.0,1,azure
6473,1580911251.0,0,azure
6474,1580912151.0,3,azure
6475,1580913051.0,1,azure
6476,1580913951.0,2,azure
6477,1580914851.0,2,azure
6478,1580915751.0,2,azure
6479,1580916651.0,12,azure
6480,1580917551.0,2,azure
6481,1580918451.0,3,azure
6482,1580919351.0,7,azure
6483,1580920251.0,0,azure
6484,1580921151.0,2,azure
6485,1580922051.0,3,azure
6486,1580922951.0,3,azure
6487,1580923851.0,4,azure
6488,1580924751.0,5,azure
6489,1580925651.0,3,azure
6490,1580926551.0,3,azure
6491,1580927451.0,5,azure
6492,1580928351.0,4,azure
6493,1580929251.0,1,azure
6494,1580930151.0,1,azure
6495,1580931051.0,0,azure
6496,1580931951.0,1,azure
6497,1580932851.0,5,azure
6498,1580933751.0,0,azure
6499,1580934651.0,1,azure
6500,1580935551.0,3,azure
6501,1580936451.0,33,azure
6502,1580937351.0,132,azure
6503,1580938251.0,183,azure
6504,1580939151.0,175,azure
6505,1580940051.0,115,azure
6506,1580940951.0,85,azure
6507,1580941851.0,62,azure
6508,1580942751.0,11,azure
6509,1580943651.0,16,azure
6510,1580944551.0,2,azure
6511,1580945451.0,2,azure
6512,1580946351.0,3,azure
6513,1580947251.0,1,azure
6514,1580948151.0,3,azure
6515,1580949051.0,2,azure
6516,1580949951.0,1,azure
6517,1580950851.0,1,azure
6518,1580951751.0,3,azure
6519,1580952651.0,0,azure
6520,1580953551.0,5,azure
6521,1580954451.0,0,azure
6522,1580955351.0,1,azure
6523,1580956251.0,1,azure
6524,1580957151.0,0,azure
6525,1580958051.0,2,azure
6526,1580958951.0,2,azure
6527,1580959851.0,2,azure
6528,1580960751.0,0,azure
6529,1580961651.0,1,azure
6530,1580962551.0,2,azure
6531,1580963451.0,0,azure
6532,1580964351.0,2,azure
6533,1580965251.0,0,azure
6534,1580966151.0,0,azure
6535,1580967051.0,2,azure
6536,1580967951.0,0,azure
6537,1580968851.0,0,azure
6538,1580969751.0,0,azure
6539,1580970651.0,0,azure
6540,1580971551.0,0,azure
6541,1580972451.0,0,azure
6542,1580973351.0,1,azure
6543,1580974251.0,2,azure
6544,1580975151.0,0,azure
6545,1580976051.0,0,azure
6546,1580976951.0,0,azure
